"Date","Followers","Follower_Change","Num_Tweets"
2018-09-28,54698563,26089,1
2018-09-27,54672474,21128,12
2018-09-26,54651346,20751,13
2018-09-25,54630595,17609,12
2018-09-24,54612986,17292,3
2018-09-23,54595694,16032,3
2018-09-22,54579662,26029,27
2018-09-21,54553633,7551,17
2018-09-20,54546082,20700,7
2018-09-19,54525382,19911,14
2018-09-18,54505471,14206,30
2018-09-17,54491265,20253,7
2018-09-16,54471012,20790,11
2018-09-15,54450222,24507,31
2018-09-14,54425715,24651,21
2018-09-13,54401064,26521,9
2018-09-12,54374543,27193,15
2018-09-11,54347350,21603,22
2018-09-10,54325747,23811,10
2018-09-09,54301936,25071,10
2018-09-08,54276865,27854,10
2018-09-07,54249011,19945,9
2018-09-06,54229066,28954,11
2018-09-05,54200112,15642,16
2018-09-04,54184470,17870,14
2018-09-03,54166600,17253,3
2018-09-02,54149347,17904,18
2018-09-01,54131443,11330,8
2018-08-31,54120113,18928,13
2018-08-30,54101185,18572,20
2018-08-29,54082613,19649,15
2018-08-28,54062964,23505,10
2018-08-27,54039459,27351,8
2018-08-26,54012108,26097,9
2018-08-25,53986011,24208,16
2018-08-24,53961803,34684,9
2018-08-23,53927119,28725,15
2018-08-22,53898394,20515,11
2018-08-21,53877879,15299,13
2018-08-20,53862580,19109,6
2018-08-19,53843471,17847,11
2018-08-18,53825624,24881,14
2018-08-17,53800743,22194,16
2018-08-16,53778549,17259,20
2018-08-15,53761290,4825,11
2018-08-14,53756465,17311,19
2018-08-13,53739154,25729,4
2018-08-12,53713425,27261,8
2018-08-11,53686164,58470,8
2018-08-10,53627694,22693,6
2018-08-09,53605001,23326,5
2018-08-08,53581675,26069,9
2018-08-07,53555606,22164,8
2018-08-06,53533442,24551,10
2018-08-05,53508891,29798,13
2018-08-04,53479093,19401,25
2018-08-03,53459692,20783,9
2018-08-02,53438909,21808,15
2018-08-01,53417101,17546,19
2018-07-31,53399555,19298,16
2018-07-30,53380257,18269,18
2018-07-29,53361988,18777,1
2018-07-28,53343211,21398,16
2018-07-27,53321813,30873,10
2018-07-26,53290940,26536,15
2018-07-25,53264404,11543,16
2018-07-24,53252861,43995,12
2018-07-23,53208866,24033,8
2018-07-22,53184833,21232,5
2018-07-21,53163601,18927,14
2018-07-20,53144674,2444,10
2018-07-19,53142230,-52675,13
2018-07-18,53194905,7615,7
2018-07-17,53187290,33815,10
2018-07-16,53153475,26835,15
2018-07-15,53126640,24501,10
2018-07-14,53102139,39074,4
2018-07-13,53063065,-329029,10
2018-07-12,53392094,24159,16
2018-07-11,53367935,23979,16
2018-07-10,53343956,28976,8
2018-07-09,53314980,29503,5
2018-07-08,53285477,22056,8
2018-07-07,53263421,24513,1
2018-07-06,53238908,25476,9
2018-07-05,53213432,23764,4
2018-07-04,53189668,22413,17
2018-07-03,53167255,33308,3
2018-07-02,53133947,41911,5
2018-07-01,53092036,24216,14
2018-06-30,53067820,23554,5
2018-06-29,53044266,-16709,11
2018-06-28,53060975,-34939,12
2018-06-27,53095914,27535,18
2018-06-26,53068379,27108,17
2018-06-25,53041271,27924,7
2018-06-24,53013347,22963,24
2018-06-23,52990384,19497,16
2018-06-22,52970887,18493,16
2018-06-21,52952394,33318,16
2018-06-20,52919076,32526,12
2018-06-19,52886550,29163,8
2018-06-18,52857387,26060,18
2018-06-17,52831327,23713,5
2018-06-16,52807614,28800,19
2018-06-15,52778814,34692,7
2018-06-14,52744122,39908,11
2018-06-13,52704214,52016,14
2018-06-12,52652198,56517,6
2018-06-11,52595681,43112,7
2018-06-10,52552569,11698,10
2018-06-09,52540871,16712,6
2018-06-08,52524159,28560,19
2018-06-07,52495599,22923,9
2018-06-06,52472676,19362,25
2018-06-05,52453314,25727,13
2018-06-04,52427587,27281,4
2018-06-03,52400306,28036,15
2018-06-02,52372270,30061,6
2018-06-01,52342209,22828,12
2018-05-31,52319381,21712,14
2018-05-30,52297669,24365,7
2018-05-29,52273304,21973,10
2018-05-28,52251331,27876,5
2018-05-27,52223455,29357,10
2018-05-26,52194098,22483,17
2018-05-25,52171615,-14189,8
2018-05-24,52185804,30967,16
2018-05-23,52154837,20101,5
2018-05-22,52134736,27365,10
2018-05-21,52107371,47563,8
2018-05-20,52059808,29696,4
2018-05-19,52030112,31169,11
2018-05-18,51998943,31511,10
2018-05-17,51967432,38304,10
2018-05-16,51929128,38422,9
2018-05-15,51890706,38398,6
2018-05-14,51852308,65778,5
2018-05-13,51786530,41278,3
2018-05-12,51745252,36463,4
2018-05-11,51708789,45095,5
2018-05-10,51663694,39861,9
2018-05-09,51623833,46271,7
2018-05-08,51577562,34280,11
2018-05-07,51543282,41171,0
2018-05-06,51502111,14794,1
2018-05-05,51487317,30147,13
2018-05-04,51457170,11354,6
2018-05-03,51445816,30119,9
2018-05-02,51415697,21835,7
2018-05-01,51393862,46493,7
2018-04-30,51347369,32903,6
2018-04-29,51314466,32573,7
2018-04-28,51281893,51951,12
2018-04-27,51229942,27524,1
